"","ID","description","units","datasetLabel","datasteURL","themeLabel","themeURL","watershedType"
"16","CAT_RECHG","Mean annual natural ground-water recharge in millimeters per year","mm/yr","Runoff (mm/yr) delivered to the stream network for every month for the years 1945 - 2013 divided by 12 to derive annual runoff. ","https://www.sciencebase.gov/catalog/item/56f97577e4b0a6037df06b5a","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","localCatch_name"
"17","ACC_RECHG","Mean annual natural ground-water recharge in millimeters per year","mm/yr","Runoff (mm/yr) delivered to the stream network for every month for the years 1945 - 2013 divided by 12 to derive annual runoff. ","https://www.sciencebase.gov/catalog/item/56f97577e4b0a6037df06b5a","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","divRoute_name"
"18","TOT_RECHG",NA,NA,"Runoff (mm/yr) delivered to the stream network for every month for the years 1945 - 2013 divided by 12 to derive annual runoff. ","https://www.sciencebase.gov/catalog/item/56f97577e4b0a6037df06b5a","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","totRoute_name"
"19","CAT_SATOF","Percentage of Dunne overland flow as a percent","percent","Percentage of Dunne overland flow as a percent","https://www.sciencebase.gov/catalog/item/56f97acbe4b0a6037df06b6a","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","localCatch_name"
"20","ACC_SATOF","Percentage of Dunne overland flow as a percent","percent","Percentage of Dunne overland flow as a percent","https://www.sciencebase.gov/catalog/item/56f97acbe4b0a6037df06b6a","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","divRoute_name"
"21","TOT_SATOF",NA,NA,"Percentage of Dunne overland flow as a percent","https://www.sciencebase.gov/catalog/item/56f97acbe4b0a6037df06b6a","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","totRoute_name"
"22","CAT_TWI","Topographic wetness index, ln(a/S); where ln is the natural log, a is the upslope area per unit contour length and S is the slope at that point.  See http://ks.water.usgs.gov/Kansas/pubs/reports/wrir.99-4242.html and Wolock and McCabe, 1995 for more detail","ln(m)","Topographic wetness index, ln(a/S); where ln is the natural log, a is the upslope area per unit contour length and S is the slope at that point.  See http://ks.water.usgs.gov/Kansas/pubs/reports/wrir.99-4242.html and Wolock and McCabe, 1995 for more detail","https://www.sciencebase.gov/catalog/item/56f97be4e4b0a6037df06b70","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","localCatch_name"
"23","ACC_TWI","Topographic wetness index, ln(a/S); where ln is the natural log, a is the upslope area per unit contour length and S is the slope at that point.  See http://ks.water.usgs.gov/Kansas/pubs/reports/wrir.99-4242.html and Wolock and McCabe, 1995 for more detail","ln(m)","Topographic wetness index, ln(a/S); where ln is the natural log, a is the upslope area per unit contour length and S is the slope at that point.  See http://ks.water.usgs.gov/Kansas/pubs/reports/wrir.99-4242.html and Wolock and McCabe, 1995 for more detail","https://www.sciencebase.gov/catalog/item/56f97be4e4b0a6037df06b70","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","divRoute_name"
"24","TOT_TWI",NA,NA,"Topographic wetness index, ln(a/S); where ln is the natural log, a is the upslope area per unit contour length and S is the slope at that point.  See http://ks.water.usgs.gov/Kansas/pubs/reports/wrir.99-4242.html and Wolock and McCabe, 1995 for more detail","https://www.sciencebase.gov/catalog/item/56f97be4e4b0a6037df06b70","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","totRoute_name"
"25","CAT_WB5100_ANN",NA,NA,"Estimated watershed annual runoff, mm/year, mean for the period 1951-2000.  From Wolock and McCabe (1999) water balance model.  Estimates the effects of precip and temperature, but not other factors (land use, water use, regulation, etc.)","https://www.sciencebase.gov/catalog/item/56fd5bd0e4b0c07cbfa40473","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","localCatch_name"
"26","ACC_WB5100_ANN",NA,NA,"Estimated watershed annual runoff, mm/year, mean for the period 1951-2000.  From Wolock and McCabe (1999) water balance model.  Estimates the effects of precip and temperature, but not other factors (land use, water use, regulation, etc.)","https://www.sciencebase.gov/catalog/item/56fd5bd0e4b0c07cbfa40473","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","divRoute_name"
"27","TOT_WB5100_ANN",NA,NA,"Estimated watershed annual runoff, mm/year, mean for the period 1951-2000.  From Wolock and McCabe (1999) water balance model.  Estimates the effects of precip and temperature, but not other factors (land use, water use, regulation, etc.)","https://www.sciencebase.gov/catalog/item/56fd5bd0e4b0c07cbfa40473","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","totRoute_name"
"28","CAT_FUNGICIDE",NA,NA,"Average kilograms per square kilometer of fungicide use on agricultural land, 2009","https://www.sciencebase.gov/catalog/item/56fd610fe4b022712b81bf9f","Chemical","https://www.sciencebase.gov/catalog/item/56fd600fe4b022712b81bf9a","localCatch_name"
"29","ACC_FUNGICIDE",NA,NA,"Average kilograms per square kilometer of fungicide use on agricultural land, 2009","https://www.sciencebase.gov/catalog/item/56fd610fe4b022712b81bf9f","Chemical","https://www.sciencebase.gov/catalog/item/56fd600fe4b022712b81bf9a","divRoute_name"
"30","TOT_FUNGICIDE",NA,NA,"Average kilograms per square kilometer of fungicide use on agricultural land, 2009","https://www.sciencebase.gov/catalog/item/56fd610fe4b022712b81bf9f","Chemical","https://www.sciencebase.gov/catalog/item/56fd600fe4b022712b81bf9a","totRoute_name"
"31","CAT_OLSON_K","Rock potassium oxide concentration as a percent.","percent","Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","localCatch_name"
"32","CAT_OLSON_CAO","Rock calcium oxide concentration as a percent.","percent","Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","localCatch_name"
"33","CAT_OLSON_FE","Rock iron oxide concentration as a percent.","percent","Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","localCatch_name"
"34","CAT_OLSON_MGO","Rock magnesium oxide concentration as a percent.","percent","Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","localCatch_name"
"35","CAT_OLSON_P","Rock phosphorus concentration as a percent.","percent","Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","localCatch_name"
"36","CAT_OLSON_S","Rock sulfur concentration as a percent.","percent","Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","localCatch_name"
"37","CAT_OLSON_SI","Rock silicon dioxide concentration as a percent.","percent","Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","localCatch_name"
"38","CAT_OLSON_UCS","Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","megaPascals","Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","localCatch_name"
"39","CAT_OLSON_PERM","Rock hydraulic conductivity (10^-6 m/s).","10^-6 m/s","Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","localCatch_name"
"40","ACC_OLSON_K","Rock potassium oxide concentration as a percent.","percent","Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","divRoute_name"
"41","ACC_OLSON_CAO","Rock calcium oxide concentration as a percent.","percent","Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","divRoute_name"
"42","ACC_OLSON_FE","Rock iron oxide concentration as a percent.","percent","Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","divRoute_name"
"43","ACC_OLSON_MGO","Rock magnesium oxide concentration as a percent.","percent","Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","divRoute_name"
"44","ACC_OLSON_P","Rock phosphorus concentration as a percent.","percent","Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","divRoute_name"
"45","ACC_OLSON_S","Rock sulfur concentration as a percent.","percent","Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","divRoute_name"
"46","ACC_OLSON_SI","Rock silicon dioxide concentration as a percent.","percent","Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","divRoute_name"
"47","ACC_OLSON_UCS","Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","megaPascals","Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","divRoute_name"
"48","ACC_OLSON_PERM","Rock hydraulic conductivity (10^-6 m/s).","10^-6 m/s","Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","divRoute_name"
"49","TOT_OLSON_K",NA,NA,"Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","totRoute_name"
"50","TOT_OLSON_CAO",NA,NA,"Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","totRoute_name"
"51","TOT_OLSON_FE",NA,NA,"Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","totRoute_name"
"52","TOT_OLSON_MGO",NA,NA,"Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","totRoute_name"
"53","TOT_OLSON_P",NA,NA,"Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","totRoute_name"
"54","TOT_OLSON_S",NA,NA,"Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","totRoute_name"
"55","TOT_OLSON_SI",NA,NA,"Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","totRoute_name"
"56","TOT_OLSON_UCS",NA,NA,"Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","totRoute_name"
"57","TOT_OLSON_PERM",NA,NA,"Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.","https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","totRoute_name"
"58","ACC_BUSHREED_1",NA,NA,"Percent of NHDPlus version 2 catchment of generalized geology type intermediate, medium- to dark-gray plutonic or volcanic rocks composed of roughly equal amounts of quartz, feldspar, mica, and hornblende","https://www.sciencebase.gov/catalog/item/5703f6b5e4b0328dcb826d06","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","divRoute_name"
"59","ACC_BUSHREED_2",NA,NA,"Percent of NHDPlus version 2 catchment of generalized geology type intermediate, medium- to dark-gray plutonic or volcanic rocks composed of roughly equal amounts of quartz, feldspar, mica, and hornblende","https://www.sciencebase.gov/catalog/item/5703f6b5e4b0328dcb826d06","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","divRoute_name"
"60","ACC_BUSHREED_3",NA,NA,"Percent of NHDPlus version 2 catchment of generalized geology type intermediate, medium- to dark-gray plutonic or volcanic rocks composed of roughly equal amounts of quartz, feldspar, mica, and hornblende","https://www.sciencebase.gov/catalog/item/5703f6b5e4b0328dcb826d06","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","divRoute_name"
"61","ACC_BUSHREED_4",NA,NA,"Percent of NHDPlus version 2 catchment of generalized geology type intermediate, medium- to dark-gray plutonic or volcanic rocks composed of roughly equal amounts of quartz, feldspar, mica, and hornblende","https://www.sciencebase.gov/catalog/item/5703f6b5e4b0328dcb826d06","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","divRoute_name"
"62","ACC_BUSHREED_5",NA,NA,"Percent of NHDPlus version 2 catchment of generalized geology type intermediate, medium- to dark-gray plutonic or volcanic rocks composed of roughly equal amounts of quartz, feldspar, mica, and hornblende","https://www.sciencebase.gov/catalog/item/5703f6b5e4b0328dcb826d06","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","divRoute_name"
"63","ACC_BUSHREED_6",NA,NA,"Percent of NHDPlus version 2 catchment of generalized geology type intermediate, medium- to dark-gray plutonic or volcanic rocks composed of roughly equal amounts of quartz, feldspar, mica, and hornblende","https://www.sciencebase.gov/catalog/item/5703f6b5e4b0328dcb826d06","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","divRoute_name"
"64","ACC_BUSHREED_8",NA,NA,"Percent of NHDPlus version 2 catchment of generalized geology type intermediate, medium- to dark-gray plutonic or volcanic rocks composed of roughly equal amounts of quartz, feldspar, mica, and hornblende","https://www.sciencebase.gov/catalog/item/5703f6b5e4b0328dcb826d06","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","divRoute_name"
"65","ACC_BUSHREED_9",NA,NA,"Percent of NHDPlus version 2 catchment of generalized geology type intermediate, medium- to dark-gray plutonic or volcanic rocks composed of roughly equal amounts of quartz, feldspar, mica, and hornblende","https://www.sciencebase.gov/catalog/item/5703f6b5e4b0328dcb826d06","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","divRoute_name"
"66","ACC_BUSHREED_10",NA,NA,"Percent of NHDPlus version 2 catchment of generalized geology type intermediate, medium- to dark-gray plutonic or volcanic rocks composed of roughly equal amounts of quartz, feldspar, mica, and hornblende","https://www.sciencebase.gov/catalog/item/5703f6b5e4b0328dcb826d06","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","divRoute_name"
"67","CAT_BUSHREED_1",NA,NA,"Percent of NHDPlus version 2 catchment of generalized geology type intermediate, medium- to dark-gray plutonic or volcanic rocks composed of roughly equal amounts of quartz, feldspar, mica, and hornblende","https://www.sciencebase.gov/catalog/item/5703f6b5e4b0328dcb826d06","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","localCatch_name"
"68","CAT_BUSHREED_2",NA,NA,"Percent of NHDPlus version 2 catchment of generalized geology type intermediate, medium- to dark-gray plutonic or volcanic rocks composed of roughly equal amounts of quartz, feldspar, mica, and hornblende","https://www.sciencebase.gov/catalog/item/5703f6b5e4b0328dcb826d06","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","localCatch_name"
"69","CAT_BUSHREED_3",NA,NA,"Percent of NHDPlus version 2 catchment of generalized geology type intermediate, medium- to dark-gray plutonic or volcanic rocks composed of roughly equal amounts of quartz, feldspar, mica, and hornblende","https://www.sciencebase.gov/catalog/item/5703f6b5e4b0328dcb826d06","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","localCatch_name"
"70","CAT_BUSHREED_4",NA,NA,"Percent of NHDPlus version 2 catchment of generalized geology type intermediate, medium- to dark-gray plutonic or volcanic rocks composed of roughly equal amounts of quartz, feldspar, mica, and hornblende","https://www.sciencebase.gov/catalog/item/5703f6b5e4b0328dcb826d06","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","localCatch_name"
"71","CAT_BUSHREED_5",NA,NA,"Percent of NHDPlus version 2 catchment of generalized geology type intermediate, medium- to dark-gray plutonic or volcanic rocks composed of roughly equal amounts of quartz, feldspar, mica, and hornblende","https://www.sciencebase.gov/catalog/item/5703f6b5e4b0328dcb826d06","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","localCatch_name"
"72","CAT_BUSHREED_6",NA,NA,"Percent of NHDPlus version 2 catchment of generalized geology type intermediate, medium- to dark-gray plutonic or volcanic rocks composed of roughly equal amounts of quartz, feldspar, mica, and hornblende","https://www.sciencebase.gov/catalog/item/5703f6b5e4b0328dcb826d06","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","localCatch_name"
"73","CAT_BUSHREED_8",NA,NA,"Percent of NHDPlus version 2 catchment of generalized geology type intermediate, medium- to dark-gray plutonic or volcanic rocks composed of roughly equal amounts of quartz, feldspar, mica, and hornblende","https://www.sciencebase.gov/catalog/item/5703f6b5e4b0328dcb826d06","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","localCatch_name"
"74","CAT_BUSHREED_9",NA,NA,"Percent of NHDPlus version 2 catchment of generalized geology type intermediate, medium- to dark-gray plutonic or volcanic rocks composed of roughly equal amounts of quartz, feldspar, mica, and hornblende","https://www.sciencebase.gov/catalog/item/5703f6b5e4b0328dcb826d06","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","localCatch_name"
"75","CAT_BUSHREED_10",NA,NA,"Percent of NHDPlus version 2 catchment of generalized geology type intermediate, medium- to dark-gray plutonic or volcanic rocks composed of roughly equal amounts of quartz, feldspar, mica, and hornblende","https://www.sciencebase.gov/catalog/item/5703f6b5e4b0328dcb826d06","Geology","https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a","localCatch_name"
