,agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd
95,USGS,01064485,"SWIFT RIVER 0.5 MI BL HOBBS BR, NR CONWAY, NH",ST,43.99305556,-71.2075,S,NAD83, 740, 20,NGVD29,01060002
96,USGS,01064500,"Saco River near Conway, NH",ST,43.9908333,-71.0905556,S,NAD83, 418.19,.01,NGVD29,01060002
97,USGS,01064801,"BEARCAMP RIVER AT SOUTH TAMWORTH, NH",ST,43.83007396,-71.2878488,S,NAD83, 493.37,.01,NGVD29,01060002
98,USGS,01065500,"OSSIPEE RIVER AT CORNISH, ME",ST,43.8077083,-70.79757778,5,NAD83, 276.10, .1,NGVD29,01060002
99,USGS,01066000,"Saco River at Cornish, Maine",ST,43.80805556,-70.7816667,S,NAD83, 263.48,.01,NGVD29,01060002
100,USGS,01067851,"SANDY BROOK ABOVE LANDFILL NEAR SACO, ME",ST,43.53341389,-70.4839417,5,NAD83, 89.80,.01,NGVD29,01060002
101,USGS,01067853,"SANDY BROOK BELOW LANDFILL NEAR SACO, ME",ST,43.52561389,-70.4786917,5,NAD83, 78.83,.01,NGVD29,01060002
102,USGS,01067950,"Kennebunk River near Kennebunk, Maine",ST,43.4322222,-70.55333329999999,5,NAD83, 70, 10,NGVD29,01060003
103,USGS,01068910,"Mousam River at Route 4 near Sanford, Maine",ST,43.4183333,-70.7380556,5,NAD83, 229.30,.01,NGVD29,01060003
104,USGS,01069500,"Mousam River near West Kennebunk, Maine",ST,43.4183333,-70.6583333,5,NAD83, 165.75,.01,NGVD29,01060003
105,USGS,01069700,"Branch Brook near Kennebunk, Maine",ST,43.37916667,-70.58333329999999,5,NAD83, 42.55,.01,NAVD88,01060003
106,USGS,01072100,"SALMON FALLS RIVER AT MILTON, NH",ST,43.41341416,-70.98700840000001,S,NAD83, 405.00, 20,NGVD29,01060003
107,USGS,01072800,"COCHECO RIVER NEAR ROCHESTER, NH.",ST,43.26841527,-70.97367390000001,S,NAD83, 118.77,.01,NAVD88,01060003
108,USGS,01072870,"ISINGLASS R AT ROCHESTER NECK RD, NR DOVER, NH",ST,43.23480487,-70.9564507,S,NAD83, 115, 20,NGVD29,01060003
109,USGS,01072880,"COCHECO RIVER, AT SPAULDING TURNPIKE, AT DOVER, NH",ST,43.20591748,-70.8958928,S,NAD83, 50.0, 20,NGVD29,01060003
110,USGS,01073000,"OYSTER RIVER NEAR DURHAM, NH",ST,43.1486955,-70.9650603,S,NAD83, 65.29,.01,NGVD29,01060003
111,USGS,01073319,"LAMPREY RIVER AT LANGFORD ROAD, AT RAYMOND, NH",ST,43.04138889,-71.2016667,S,NAD83, 182.49, .2,NAVD88,01060003
112,USGS,01073500,"LAMPREY RIVER NEAR NEWMARKET, NH",ST,43.10258558,-70.952559,S,NAD83, 38.28,.01,NGVD29,01060003
113,USGS,010735562,"EXETER RIVER AT ODELL ROAD, NEAR SANDOWN, NH",ST,42.94897557,-71.16478279,S,NAD83, 185, 20,NGVD29,01060003
114,USGS,01073587,"EXETER RIVER AT HAIGH ROAD, NEAR BRENTWOOD, NH",ST,42.9845316,-71.038392,S,NAD83, 60.27,.01,NGVD29,01060003
115,USGS,01073785,"WINNICUT RIVER AT GREENLAND, NR PORTSMOUTH, NH",ST,43.0358333,-70.8475,S,NAD83, 6.03,.01,NGVD29,01060003
116,USGS,01074520,"EAST BRANCH PEMIGEWASSET RIVER AT LINCOLN, NH",ST,44.0475669,-71.65980290000002,S,NAD83, 821.03,.01,NGVD29,01070001
117,USGS,01075000,"PEMIGEWASSET RIVER AT WOODSTOCK, NH",ST,43.976179200000004,-71.6795244,S,NAD83, 616.44,.01,NGVD29,01070001
118,USGS,01076000,"BAKER RIVER NEAR RUMNEY, NH",ST,43.79562647,-71.8453594,S,NAD83, 497.34,.01,NGVD29,01070001
119,USGS,01076500,"PEMIGEWASSET RIVER AT PLYMOUTH, NH",ST,43.7592388,-71.68563370000001,S,NAD83, 457.07,.01,NGVD29,01070001
120,USGS,01077400,"COCKERMOUTH RIVER BELOW HARDY BROOK, AT GROTON, NH",ST,43.70388889,-71.83333329999999,S,NAD83, 608.42,.01,NAVD88,01070001
121,USGS,01078000,"SMITH RIVER NEAR BRISTOL, NH",ST,43.56646307,-71.747857,S,NAD83, 449.80,.01,NGVD29,01070001
122,USGS,01081000,"WINNIPESAUKEE RIVER AT TILTON, NH",ST,43.44174376,-71.5875752,S,NAD83, 441.87,.01,NGVD29,01070002
123,USGS,01081500,"MERRIMACK RIVER AT FRANKLIN JUNCTION, NH",ST,43.42285456,-71.6528543,S,NAD83, 251.08,.01,NGVD29,01070002
124,USGS,01082000,"CONTOOCOOK RIVER AT PETERBOROUGH, NH",ST,42.86258370000001,-71.95924609,S,NAD83, 731.97,.01,NGVD29,01070003
125,USGS,01084000,"NORTH BRANCH RIVER NEAR ANTRIM, NH",ST,43.0817464,-71.9784147,S,NAD83, 881.38,.01,NGVD29,01070003
126,USGS,01085000,"CONTOOCOOK RIVER NEAR HENNIKER, NH",ST,43.1520237,-71.85730149,S,NAD83, 470.32,.01,NGVD29,01070003
127,USGS,01085500,"CONTOOCOOK R BL HOPKINTON DAM AT W HOPKINTON, NH",ST,43.192856899999995,-71.7472995,S,NAD83, 355.83,.01,NGVD29,01070003
128,USGS,01086000,"WARNER RIVER AT DAVISVILLE, NH",ST,43.25091159,-71.73229959999999,S,NAD83, 379.96, .1,NGVD29,01070003
129,USGS,01089100,"SOUCOOK RIVER, AT PEMBROKE ROAD, NEAR CONCORD, NH",ST,43.21369248,-71.48034809999999,S,NAD83, 255.89,.01,NGVD29,01070002
130,USGS,01089500,"SUNCOOK RIVER AT NORTH CHICHESTER, NH",ST,43.25674759,-71.36951248,S,NAD83, 329.35,.01,NGVD29,01070002
131,USGS,01089925,"SUNCOOK RIVER AT NH 28, NEAR SUNCOOK, NH",ST,43.15980438,-71.4059011,S,NAD83, 0.00,.01,NAVD88,01070002
132,USGS,01091000,"SOUTH BRANCH PISCATAQUOG RIVER NEAR GOFFSTOWN, NH",ST,43.01480519,-71.64146129,S,NAD83, 308.95, .1,NGVD29,01070002
133,USGS,01091500,"PISCATAQUOG RIVER NEAR GOFFSTOWN, NH",ST,43.01675,-71.5506252,S,NAD83, 174.65,.01,NGVD29,01070002
134,USGS,01092000,"MERRIMACK R NR GOFFS FALLS, BELOW MANCHESTER, NH",ST,42.9481405,-71.4634002,S,NAD83, 109.27,.01,NGVD29,01070002
135,USGS,01093852,"SOUHEGAN RIVER (SITE WLR-1) NEAR MILFORD, NH",ST,42.842585799999995,-71.7067399,S,NAD83, 264.32,.01,NAVD88,01070002
136,USGS,01094000,"SOUHEGAN RIVER AT MERRIMACK, NH",ST,42.8575865,-71.5061785,S,NAD83, 160.58,.01,NGVD29,01070002
137,USGS,01094400,"NORTH NASHUA RIVER AT FITCHBURG, MA",ST,42.57620079,-71.7881285,S,NAD83, 394.13, .1,NAVD88,01070004
138,USGS,01094500,"NORTH NASHUA RIVER NEAR LEOMINSTER, MA",ST,42.49506389,-71.7219333,H,NAD83, 265,  5,NAVD88,01070004
139,USGS,01095220,"STILLWATER RIVER NEAR STERLING, MA",ST,42.41092507,-71.79118290000001,S,NAD83,,,,01070004
140,USGS,01095375,"QUINAPOXET RIVER AT CANADA MILLS NEAR HOLDEN, MA",ST,42.37286967,-71.82812790000001,S,NAD83, 560, 10,NGVD29,01070004
141,USGS,01095434,"GATES BROOK NEAR WEST BOYLSTON, MA",ST,42.36453675,-71.775349,S,NAD83, 420, 10,NGVD29,01070004
142,USGS,01095503,"NASHUA RIVER, WATER STREET BRIDGE, AT CLINTON, MA",ST,42.41944444,-71.6661111,1,NAD83,,,,01070004
143,USGS,01096000,"SQUANNACOOK RIVER NEAR WEST GROTON, MA",ST,42.63425619,-71.65784790000001,S,NAD83,,,,01070004
144,USGS,01096500,"NASHUA RIVER AT EAST PEPPERELL, MA",ST,42.66758945,-71.57506809,S,NAD83, 169.04, .1,NGVD29,01070004
145,USGS,010965852,"BEAVER BROOK AT NORTH PELHAM, NH",ST,42.78286636,-71.35367448,S,NAD83, 149.26,.01,NGVD29,01070002
146,USGS,01097000,"ASSABET RIVER AT MAYNARD, MA",ST,42.432038,-71.4497848,S,NAD83, 142.12, .1,NGVD29,01070005
147,USGS,01097300,"NASHOBA BROOK NEAR ACTON, MA",ST,42.51259289,-71.40422829,S,NAD83, 155,  5,NGVD29,01070005
148,USGS,01098500,"COCHITUATE BK BL LAKE COCHITUATE AT FRAMINGHAM, MA",ST,42.31514167,-71.3838083,1,NAD83, 130, 10,NAVD88,01070005
149,USGS,01098530,"SUDBURY RIVER AT SAXONVILLE, MA",ST,42.3253732,-71.3975605,S,NAD83, 110.55, .1,NGVD29,01070005
150,USGS,01099500,"CONCORD R BELOW R MEADOW BROOK, AT LOWELL, MA",ST,42.6367581,-71.3020047,S,NAD83, 67.41, .1,NGVD29,01070005
151,USGS,01100000,"MERRIMACK RIVER BL CONCORD RIVER AT LOWELL, MA",ST,42.64592464,-71.2983937,S,NAD83, 5.18, .1,NGVD29,01070002
152,USGS,01100505,"SPICKET RIVER AT NORTH SALEM, NH",ST,42.8492547,-71.21506070000001,S,NAD83, 190, 10,NGVD29,01070002
153,USGS,01100561,"SPICKET RIVER NEAR METHUEN, MA",ST,42.7431456,-71.208393,S,NAD83, 100.91,.01,NGVD29,01070002
154,USGS,01100568,"SHAWSHEEN RIVER AT HANSCOM FIELD NEAR BEDFORD, MA",ST,42.46703909,-71.27227950000001,S,NAD83,,,,01070002
155,USGS,01100600,"SHAWSHEEN RIVER NEAR WILMINGTON, MA",ST,42.568148799999996,-71.2147792,S,NAD83, 80.44, .1,NGVD29,01070002
156,USGS,01100627,"SHAWSHEEN RIVER AT BALMORAL STREET AT ANDOVER, MA",ST,42.6714806,-71.14922390000001,S,NAD83, 40, 10,NGVD29,01070002
157,USGS,01101000,"PARKER RIVER AT BYFIELD, MA",ST,42.75286948,-70.9456096,S,NAD83, 23.46, .1,NGVD29,01090001
158,USGS,01101500,"IPSWICH RIVER AT SOUTH MIDDLETON, MA",ST,42.56953869,-71.0269974,S,NAD83, 44.97, .1,NGVD29,01090001
159,USGS,01102000,"IPSWICH RIVER NEAR IPSWICH, MA",ST,42.6598157,-70.8936622,S,NAD83, 20.63, .1,NGVD29,01090001
160,USGS,01102345,"SAUGUS RIVER AT SAUGUS IRONWORKS AT SAUGUS, MA",ST,42.4695404,-71.00699540000001,S,NAD83, 5.57,.01,NAVD88,01090001
161,USGS,01102500,"ABERJONA RIVER AT WINCHESTER, MA",ST,42.4474568,-71.13808159999999,H,NAD83, 15,  5,NAVD88,01090001
162,USGS,01103010,"MYSTIC RIVER AT ARLINGTON, MA",ST,42.42066667,-71.1426944,U,NAD83,,,,01090001
163,USGS,01103025,"ALEWIFE BROOK NEAR ARLINGTON, MA",ST,42.40704077,-71.1339422,S,NAD83, 10, 10,NGVD29,01090001
164,USGS,01103280,"CHARLES RIVER AT MEDWAY, MA",ST,42.139819700000004,-71.38950320000001,S,NAD83, 135, 10,NGVD29,01090001
165,USGS,01103455,"TROUT BROOK AT DOVER, MA",ST,42.25398645,-71.29339017,U,NAD83, 105, 10,NGVD29,01090001
166,USGS,01103500,"CHARLES RIVER AT DOVER, MA",ST,42.256209000000005,-71.26005579999999,S,NAD83, 89.76, .1,NGVD29,01090001
167,USGS,01104000,"MOTHER BROOK AT DEDHAM, MA",ST,42.255098499999995,-71.1642196,S,NAD83, 0.00, .1,NGVD29,01090001
168,USGS,01104200,"CHARLES RIVER AT WELLESLEY, MA",ST,42.316486100000006,-71.22783299999999,S,NAD83, 67.92, .1,NGVD29,01090001
169,USGS,01104370,"STONY BROOK AT VILES STREET, NEAR WESTON, MA",ST,42.38555556,-71.28944440000001,5,NAD83, 130, 10,NGVD29,01090001
170,USGS,01104405,"HOBBS BROOK AT MILL ST NR LINCOLN, MA",ST,42.436484,-71.26950140000001,S,NAD83, 175,  5,NGVD29,01090001
171,USGS,01104410,"CAMBRIDGE RES., UNNAMED TRIB 1, NR LEXINGTON, MA",ST,42.43648406,-71.2642235,S,NAD83, 175,  5,NGVD29,01090001
172,USGS,01104415,"CAMBRIDGE RES., UNNAMED TRIB 2, NR LEXINGTON, MA",ST,42.43592855,-71.2600567,S,NAD83, 175,  5,NGVD29,01090001
173,USGS,01104420,"CAMBRIDGE RES., UNNAMED TRIB 3, NR LEXINGTON, MA",ST,42.4198177,-71.25755649999999,S,NAD83, 180,  5,NGVD29,01090001
174,USGS,01104430,"HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA",ST,42.39815120000001,-71.27339029999999,S,NAD83, 150,  5,NGVD29,01090001
175,USGS,01104433,"HOBBS BROOK, UNNAMED TRIBUTARY 1, NEAR WESTON, MA",ST,42.39120689,-71.2711679,S,NAD83, 150, 10,NGVD29,01090001
176,USGS,01104453,STONY BROOK UNNAMED TRIB 2 NR WESTON STATION,ST,42.37138889,-71.27527778,S,NAD83,,,,01090001
177,USGS,01104455,"STONY BROOK, UNNAMED TRIBUTARY 1, NEAR WALTHAM, MA",ST,42.37259606,-71.27033448,S,NAD83,,,,01090001
178,USGS,01104460,"STONY BROOK AT RT 20 AT WALTHAM, MA",ST,42.368984999999995,-71.2706123,S,NAD83, 90,  5,NGVD29,01090001
179,USGS,01104475,"STONY BROOK RES., UNNAMED TRIB 1, NEAR WESTON, MA",ST,42.3545408,-71.2681121,S,NAD83, 100, 10,NGVD29,01090001
180,USGS,01104480,"STONY BROOK RESERVOIR AT DAM NEAR WALTHAM, MA",ST,42.3556519,-71.2650565,S,NAD83, 40, 10,NGVD29,01090001
181,USGS,01104500,"CHARLES RIVER AT WALTHAM, MA",ST,42.37231857,-71.2336668,U,NAD83, 20.02,.01,NGVD29,01090001
182,USGS,01104501,"BEAVER BROOK, LINDEN STREET, AT WALTHAM, MA",ST,42.3786972,-71.22237220000001,H,NAD83, 35,  5,NAVD88,01090001
183,USGS,01105000,"NEPONSET RIVER AT NORWOOD, MA",ST,42.177598700000004,-71.20088630000001,S,NAD83, 44.04,.01,NGVD29,01090001
184,USGS,01105500,"EAST BRANCH NEPONSET RIVER AT CANTON, MA",ST,42.15454356,-71.14588420000001,S,NAD83, 80.18,.01,NGVD29,01090001
